Comando 	Significado	Ejemplo
ls	Lista el contenido del directorio actual.	ls -l (muestra detalles).
cd	Cambia al directorio especificado.	cd /home/usuario/Documentos
pwd	Muestra la ruta completa del directorio actual.	pwd
mkdir	Crea un nuevo directorio.	mkdir nueva_carpeta
rmdir	Borra un directorio vacío.	rmdir carpeta_vacia
touch	Crea un archivo vacío.	touch archivo.txt
cp	Copia archivos o directorios.	cp archivo.txt copia.txt
mv	Mueve o renombra archivos o directorios.	mv archivo.txt nuevo_nombre.txt
rm	Borra archivos o directorios.	rm archivo.txt
cat	Muestra el contenido de un archivo.	cat archivo.txt
nano	Abre un editor de texto en la terminal.	nano archivo.txt
vi	Abre el editor de texto vi en la terminal.	vi archivo.txt
df	Muestra el uso del espacio en disco.	df -h
du	Muestra el uso del espacio por archivos o carpetas.	du -sh carpeta
uname	Muestra información del sistema operativo.	uname -a
top	Muestra los procesos en ejecución y el uso de recursos del sistema.	top
ps	Lista los procesos en ejecución.	ps aux
kill	Finaliza un proceso por su ID.	kill 1234
sudo	Ejecuta comandos como superusuario.	sudo apt update
chmod	Cambia los permisos de archivos o directorios.	chmod 755 archivo.sh
chown	Cambia el propietario de un archivo o directorio.	chown usuario archivo.txt
apt update	Actualiza la lista de paquetes disponibles (Ubuntu).	sudo apt update
apt upgrade	Instala actualizaciones de paquetes (Ubuntu).	sudo apt upgrade
wget	Descarga archivos desde una URL.	wget https://ejemplo.com/archivo
curl	Realiza peticiones HTTP y descarga contenido desde una URL.	curl https://ejemplo.com
find	Busca archivos o directorios en el sistema.	find /home -name archivo.txt
grep	Busca texto dentro de archivos.	"grep ""texto"" archivo.txt"
zip	Comprime archivos en un archivo ZIP.	zip archivo.zip archivo.txt
unzip	Extrae archivos de un archivo ZIP.	unzip archivo.zip
tar	Comprime o descomprime archivos en formato TAR.	tar -czvf archivo.tar.gz carpeta
man	Muestra el manual de un comando específico.	man ls
echo	Imprime texto en la terminal o redirige salida a un archivo.	"echo ""Hola Mundo"" > saludo.txt"
history	Muestra el historial de comandos ejecutados en la terminal.	history
clear	Limpia la pantalla de la terminal.	clear
		
		
